Mês/Ano,Região Origem,Região Destino,Vendas de Biodiesel
11/2021,NORTE / CENTRO OESTE,NORDESTE,14804
11/2021,NORTE / CENTRO OESTE,NORTE,43751
11/2021,NORTE / CENTRO OESTE,SUDESTE,24597
11/2021,SUDESTE,NORTE,42
11/2021,SUDESTE,SUDESTE,29369
11/2021,SUDESTE,SUL,0
11/2021,SUL,CENTRO OESTE,983
11/2021,SUL,SUDESTE,120863
11/2021,SUL,SUL,130989
12/2021,NORDESTE,CENTRO OESTE,622
12/2021,NORDESTE,NORDESTE,11221
12/2021,NORDESTE,NORTE,331
12/2021,NORDESTE,SUDESTE,27797
12/2021,NORTE / CENTRO OESTE,CENTRO OESTE,96962
12/2021,NORTE / CENTRO OESTE,NORDESTE,14223
12/2021,NORTE / CENTRO OESTE,NORTE,50048
12/2021,NORTE / CENTRO OESTE,SUDESTE,30957
12/2021,SUDESTE,CENTRO OESTE,791
12/2021,SUDESTE,SUDESTE,31561
12/2021,SUL,CENTRO OESTE,801
12/2021,SUL,SUDESTE,122799
12/2021,SUL,SUL,136546
01/2022,NORDESTE,NORDESTE,39091
01/2022,NORDESTE,SUDESTE,992
01/2022,NORTE / CENTRO OESTE,CENTRO OESTE,49962
01/2022,NORTE / CENTRO OESTE,NORDESTE,21028
01/2022,NORTE / CENTRO OESTE,NORTE,53562
01/2022,NORTE / CENTRO OESTE,SUDESTE,34643
01/2022,NORTE / CENTRO OESTE,SUL,979
01/2022,SUDESTE,CENTRO OESTE,1387
01/2022,SUDESTE,NORDESTE,3364
01/2022,SUDESTE,SUDESTE,26576
01/2022,SUDESTE,SUL,5167
01/2022,SUL,CENTRO OESTE,1941
01/2022,SUL,NÃO INFORMADA,2
01/2022,SUL,SUDESTE,83814
01/2022,SUL,SUL,103205
02/2022,NORDESTE,NORDESTE,42374
02/2022,NORDESTE,SUDESTE,1585
02/2022,NORTE / CENTRO OESTE,CENTRO OESTE,71914
02/2022,NORTE / CENTRO OESTE,NORDESTE,18357
02/2022,NORTE / CENTRO OESTE,NORTE,56829
02/2022,NORTE / CENTRO OESTE,SUDESTE,42947
02/2022,NORTE / CENTRO OESTE,SUL,1135
02/2022,SUDESTE,CENTRO OESTE,2246
02/2022,SUDESTE,NORDESTE,3161
02/2022,SUDESTE,SUDESTE,30076
02/2022,SUL,CENTRO OESTE,2872
02/2022,SUL,NORTE,540
02/2022,SUL,SUDESTE,94287
02/2022,SUL,SUL,107703
03/2022,NORDESTE,NORDESTE,43368
03/2022,NORTE / CENTRO OESTE,CENTRO OESTE,66789
03/2022,NORTE / CENTRO OESTE,NORDESTE,27838
03/2022,NORTE / CENTRO OESTE,NORTE,49762
03/2022,NORTE / CENTRO OESTE,SUDESTE,49409
03/2022,NORTE / CENTRO OESTE,SUL,1473
03/2022,SUDESTE,CENTRO OESTE,286
03/2022,SUDESTE,NORDESTE,2866
03/2022,SUDESTE,SUDESTE,31721
03/2022,SUDESTE,SUL,425
03/2022,SUL,CENTRO OESTE,4553
03/2022,SUL,NORTE,1197
03/2022,SUL,SUDESTE,101819
03/2022,SUL,SUL,110458
