,Mês/Ano,Região Origem,Região Destino,Vendas de Biodiesel
0,01/2017,NORDESTE,NORDESTE,20803
1,01/2017,NORTE / CENTRO OESTE,CENTRO OESTE,47184
2,01/2017,NORTE / CENTRO OESTE,NORDESTE,27238
3,01/2017,NORTE / CENTRO OESTE,NORTE,7777
4,01/2017,NORTE / CENTRO OESTE,SUDESTE,23102
5,01/2017,NORTE / CENTRO OESTE,SUL,786
6,01/2017,SUDESTE,NORDESTE,6188
7,01/2017,SUDESTE,SUDESTE,17844
8,01/2017,SUL,SUDESTE,44269
9,01/2017,SUL,SUL,60014
10,02/2017,NORDESTE,NORDESTE,17853
11,02/2017,NORTE / CENTRO OESTE,CENTRO OESTE,36440
12,02/2017,NORTE / CENTRO OESTE,NORDESTE,29086
13,02/2017,NORTE / CENTRO OESTE,NORTE,7511
14,02/2017,NORTE / CENTRO OESTE,SUDESTE,33163
15,02/2017,NORTE / CENTRO OESTE,SUL,1281
16,02/2017,SUDESTE,NORDESTE,5629
17,02/2017,SUDESTE,SUDESTE,17097
18,02/2017,SUDESTE,SUL,329
19,02/2017,SUL,SUDESTE,40600
20,02/2017,SUL,SUL,63074
21,03/2017,NORDESTE,NORDESTE,21992
22,03/2017,NORTE / CENTRO OESTE,CENTRO OESTE,47942
23,03/2017,NORTE / CENTRO OESTE,NORDESTE,30651
24,03/2017,NORTE / CENTRO OESTE,NORTE,16628
25,03/2017,NORTE / CENTRO OESTE,SUDESTE,44317
26,03/2017,NORTE / CENTRO OESTE,SUL,1727
27,03/2017,SUDESTE,NORDESTE,7141
28,03/2017,SUDESTE,SUDESTE,12194
29,03/2017,SUDESTE,SUL,41
30,03/2017,SUL,SUDESTE,62436
31,03/2017,SUL,SUL,91635
32,04/2017,NORDESTE,NORDESTE,21306
33,04/2017,NORTE / CENTRO OESTE,CENTRO OESTE,38273
34,04/2017,NORTE / CENTRO OESTE,NORDESTE,36508
35,04/2017,NORTE / CENTRO OESTE,NORTE,10153
36,04/2017,NORTE / CENTRO OESTE,SUDESTE,47724
37,04/2017,NORTE / CENTRO OESTE,SUL,1016
38,04/2017,SUDESTE,NORDESTE,6162
39,04/2017,SUDESTE,SUDESTE,11896
40,04/2017,SUL,NORDESTE,43
41,04/2017,SUL,SUDESTE,59870
42,04/2017,SUL,SUL,82124
43,05/2017,NORDESTE,NORDESTE,21451
44,05/2017,NORTE / CENTRO OESTE,CENTRO OESTE,44413
45,05/2017,NORTE / CENTRO OESTE,NORDESTE,44214
46,05/2017,NORTE / CENTRO OESTE,NORTE,13278
47,05/2017,NORTE / CENTRO OESTE,SUDESTE,47384
48,05/2017,NORTE / CENTRO OESTE,SUL,1726
49,05/2017,SUDESTE,NORDESTE,7296
50,05/2017,SUDESTE,SUDESTE,17478
51,05/2017,SUL,SUDESTE,71251
52,05/2017,SUL,SUL,85141
53,06/2017,NORDESTE,NORDESTE,20966
54,06/2017,NORTE / CENTRO OESTE,CENTRO OESTE,47538
55,06/2017,NORTE / CENTRO OESTE,NORDESTE,39063
56,06/2017,NORTE / CENTRO OESTE,NORTE,16646
57,06/2017,NORTE / CENTRO OESTE,SUDESTE,43912
58,06/2017,NORTE / CENTRO OESTE,SUL,3480
59,06/2017,SUDESTE,CENTRO OESTE,285
60,06/2017,SUDESTE,NORDESTE,8140
61,06/2017,SUDESTE,SUDESTE,17726
62,06/2017,SUL,NORDESTE,34
63,06/2017,SUL,SUDESTE,66446
64,06/2017,SUL,SUL,82009
65,07/2017,NORDESTE,NORDESTE,25110
66,07/2017,NORDESTE,SUDESTE,42
67,07/2017,NORTE / CENTRO OESTE,CENTRO OESTE,46431
68,07/2017,NORTE / CENTRO OESTE,NORDESTE,37425
69,07/2017,NORTE / CENTRO OESTE,NORTE,17294
70,07/2017,NORTE / CENTRO OESTE,SUDESTE,49273
71,07/2017,NORTE / CENTRO OESTE,SUL,1539
72,07/2017,SUDESTE,CENTRO OESTE,33
73,07/2017,SUDESTE,NORDESTE,5832
74,07/2017,SUDESTE,SUDESTE,23868
75,07/2017,SUDESTE,SUL,44
76,07/2017,SUL,SUDESTE,60863
77,07/2017,SUL,SUL,88509
78,08/2017,NORDESTE,NORDESTE,28508
79,08/2017,NORDESTE,SUDESTE,430
80,08/2017,NORTE / CENTRO OESTE,CENTRO OESTE,48678
81,08/2017,NORTE / CENTRO OESTE,NORDESTE,40570
82,08/2017,NORTE / CENTRO OESTE,NORTE,19152
83,08/2017,NORTE / CENTRO OESTE,SUDESTE,53788
84,08/2017,NORTE / CENTRO OESTE,SUL,1560
85,08/2017,SUDESTE,NORDESTE,959
86,08/2017,SUDESTE,SUDESTE,31905
87,08/2017,SUDESTE,SUL,41
88,08/2017,SUL,SUDESTE,68170
89,08/2017,SUL,SUL,90268
90,09/2017,NORDESTE,NORDESTE,27688
91,09/2017,NORDESTE,SUDESTE,87
92,09/2017,NORTE / CENTRO OESTE,CENTRO OESTE,41938
93,09/2017,NORTE / CENTRO OESTE,NORDESTE,45190
94,09/2017,NORTE / CENTRO OESTE,NORTE,18364
95,09/2017,NORTE / CENTRO OESTE,SUDESTE,43390
96,09/2017,NORTE / CENTRO OESTE,SUL,979
97,09/2017,SUDESTE,SUDESTE,37285
98,09/2017,SUL,SUDESTE,69745
99,09/2017,SUL,SUL,97665
100,10/2017,NORDESTE,NORDESTE,29714
101,10/2017,NORTE / CENTRO OESTE,CENTRO OESTE,46176
102,10/2017,NORTE / CENTRO OESTE,NORDESTE,46200
103,10/2017,NORTE / CENTRO OESTE,NORTE,20911
104,10/2017,NORTE / CENTRO OESTE,SUDESTE,39392
105,10/2017,NORTE / CENTRO OESTE,SUL,496
106,10/2017,SUDESTE,CENTRO OESTE,85
107,10/2017,SUDESTE,NORDESTE,117
108,10/2017,SUDESTE,SUDESTE,37811
109,10/2017,SUDESTE,SUL,43
110,10/2017,SUL,CENTRO OESTE,372
111,10/2017,SUL,SUDESTE,68134
112,10/2017,SUL,SUL,97490
113,11/2017,NORDESTE,NORDESTE,28561
114,11/2017,NORDESTE,SUDESTE,671
115,11/2017,NORTE / CENTRO OESTE,CENTRO OESTE,39969
116,11/2017,NORTE / CENTRO OESTE,NORDESTE,45442
117,11/2017,NORTE / CENTRO OESTE,NORTE,20319
118,11/2017,NORTE / CENTRO OESTE,SUDESTE,40114
119,11/2017,NORTE / CENTRO OESTE,SUL,1117
120,11/2017,SUDESTE,CENTRO OESTE,57
121,11/2017,SUDESTE,NORDESTE,80
122,11/2017,SUDESTE,SUDESTE,29081
123,11/2017,SUL,NORDESTE,392
124,11/2017,SUL,SUDESTE,69673
125,11/2017,SUL,SUL,87857
126,12/2017,NORDESTE,NORDESTE,26143
127,12/2017,NORTE / CENTRO OESTE,CENTRO OESTE,35831
128,12/2017,NORTE / CENTRO OESTE,NORDESTE,50946
129,12/2017,NORTE / CENTRO OESTE,NORTE,17056
130,12/2017,NORTE / CENTRO OESTE,SUDESTE,35933
131,12/2017,SUDESTE,NORDESTE,83
132,12/2017,SUDESTE,SUDESTE,28919
133,12/2017,SUL,NORDESTE,315
134,12/2017,SUL,SUDESTE,63074
135,12/2017,SUL,SUL,83546
136,01/2018,NORDESTE,NORDESTE,28567
137,01/2018,NORTE / CENTRO OESTE,CENTRO OESTE,33959
138,01/2018,NORTE / CENTRO OESTE,NORDESTE,26357
139,01/2018,NORTE / CENTRO OESTE,NORTE,28027
140,01/2018,NORTE / CENTRO OESTE,SUDESTE,34158
141,01/2018,NORTE / CENTRO OESTE,SUL,84
142,01/2018,SUDESTE,NORDESTE,909
143,01/2018,SUDESTE,SUDESTE,25526
144,01/2018,SUL,SUDESTE,65263
145,01/2018,SUL,SUL,70901
146,02/2018,NORDESTE,CENTRO OESTE,336
147,02/2018,NORDESTE,NORDESTE,27394
148,02/2018,NORTE / CENTRO OESTE,CENTRO OESTE,45178
149,02/2018,NORTE / CENTRO OESTE,NORDESTE,22729
150,02/2018,NORTE / CENTRO OESTE,NORTE,28093
151,02/2018,NORTE / CENTRO OESTE,SUDESTE,32304
152,02/2018,NORTE / CENTRO OESTE,SUL,221
153,02/2018,SUDESTE,CENTRO OESTE,29
154,02/2018,SUDESTE,NORDESTE,962
155,02/2018,SUDESTE,SUDESTE,38214
156,02/2018,SUL,SUDESTE,61817
157,02/2018,SUL,SUL,81834
158,03/2018,NORDESTE,NORDESTE,27069
159,03/2018,NORDESTE,SUDESTE,1159
160,03/2018,NORTE / CENTRO OESTE,CENTRO OESTE,57191
161,03/2018,NORTE / CENTRO OESTE,NORDESTE,40981
162,03/2018,NORTE / CENTRO OESTE,NORTE,32911
163,03/2018,NORTE / CENTRO OESTE,SUDESTE,49433
164,03/2018,NORTE / CENTRO OESTE,SUL,415
165,03/2018,SUDESTE,SUDESTE,42513
166,03/2018,SUL,SUDESTE,68238
167,03/2018,SUL,SUL,105657
168,04/2018,NORDESTE,NORDESTE,30805
169,04/2018,NORTE / CENTRO OESTE,CENTRO OESTE,66413
170,04/2018,NORTE / CENTRO OESTE,NORDESTE,39199
171,04/2018,NORTE / CENTRO OESTE,NORTE,37191
172,04/2018,NORTE / CENTRO OESTE,SUDESTE,53240
173,04/2018,NORTE / CENTRO OESTE,SUL,1193
174,04/2018,SUDESTE,CENTRO OESTE,87
175,04/2018,SUDESTE,NORDESTE,43
176,04/2018,SUDESTE,SUDESTE,42943
177,04/2018,SUDESTE,SUL,40
178,04/2018,SUL,NORTE,115
179,04/2018,SUL,SUDESTE,75500
180,04/2018,SUL,SUL,106203
181,05/2018,NORDESTE,NORDESTE,23773
182,05/2018,NORDESTE,SUDESTE,87
183,05/2018,NORTE / CENTRO OESTE,CENTRO OESTE,59841
184,05/2018,NORTE / CENTRO OESTE,NORDESTE,30547
185,05/2018,NORTE / CENTRO OESTE,NORTE,22533
186,05/2018,NORTE / CENTRO OESTE,SUDESTE,30426
187,05/2018,SUDESTE,NORDESTE,866
188,05/2018,SUDESTE,SUDESTE,28094
189,05/2018,SUL,SUDESTE,65033
190,05/2018,SUL,SUL,87104
191,06/2018,NORDESTE,NORDESTE,33999
192,06/2018,NORDESTE,SUDESTE,306
193,06/2018,NORTE / CENTRO OESTE,CENTRO OESTE,76328
194,06/2018,NORTE / CENTRO OESTE,NORDESTE,38794
195,06/2018,NORTE / CENTRO OESTE,NORTE,37758
196,06/2018,NORTE / CENTRO OESTE,SUDESTE,56820
197,06/2018,NORTE / CENTRO OESTE,SUL,792
198,06/2018,SUDESTE,NORDESTE,1146
199,06/2018,SUDESTE,SUDESTE,41343
200,06/2018,SUL,SUDESTE,92396
201,06/2018,SUL,SUL,110379
202,07/2018,NORDESTE,NORDESTE,27422
203,07/2018,NORTE / CENTRO OESTE,CENTRO OESTE,77662
204,07/2018,NORTE / CENTRO OESTE,NORDESTE,44251
205,07/2018,NORTE / CENTRO OESTE,NORTE,37092
